episode,season,title,file_name,link
E01,S01,Pilot,S01_E01_Pilot,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-2169080
E02,S01,Lawnmower Dog,S01_E02_Lawnmower_Dog,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3333824
E03,S01,Anatomy Park,S01_E03_Anatomy_Park,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3333828
E04,S01,M. Night Shaym-Aliens!,S01_E04_M_Night_ShaymAliens,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3333830
E05,S01,Meeseeks and Destroy,S01_E05_Meeseeks_and_Destroy,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3333832
E06,S01,Rick Potion #9,S01_E06_Rick_Potion_9,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3333834
E07,S01,Raising Gazorpazorp,S01_E07_Raising_Gazorpazorp,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3333836
E08,S01,Rixty Minutes,S01_E08_Rixty_Minutes,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3333838
E09,S01,Something Ricked This Way Comes,S01_E09_Something_Ricked_This_Way_Comes,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3333840
E10,S01,Close Rick-counters of the Rick Kind,S01_E10_Close_Rickcounters_of_the_Rick_Kind,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3333846
E11,S01,Ricksy Business,S01_E11_Ricksy_Business,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3333854
E01,S02,A Rickle in Time,S02_E01_A_Rickle_in_Time,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4462494
E02,S02,Mortynight Run,S02_E02_Mortynight_Run,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4832254
E03,S02,Auto Erotic Assimilation,S02_E03_Auto_Erotic_Assimilation,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4832260
E04,S02,Total Rickall,S02_E04_Total_Rickall,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4832262
E05,S02,Get Schwifty,S02_E05_Get_Schwifty,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4832266
E06,S02,The Ricks Must Be Crazy,S02_E06_The_Ricks_Must_Be_Crazy,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4832268
E07,S02,Big Trouble in Little Sanchez,S02_E07_Big_Trouble_in_Little_Sanchez,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4832272
E08,S02,Interdimensional Cable 2: Tempting Fate,S02_E08_Interdimensional_Cable_2_Tempting_Fate,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4832274
E09,S02,Look Who's Purging Now,S02_E09_Look_Whos_Purging_Now,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4832276
E10,S02,The Wedding Squanchers,S02_E10_The_Wedding_Squanchers,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4832278
E01,S03,The Rickshank Rickdemption,S03_E01_The_Rickshank_Rickdemption,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-5218228
E02,S03,Rickmancing the Stone,S03_E02_Rickmancing_the_Stone,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-5218256
E03,S03,Pickle Rick,S03_E03_Pickle_Rick,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-5218268
E04,S03,Vindicators 3: The Return of Worldender,S03_E04_Vindicators_3_The_Return_of_Worldender,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-5218288
E05,S03,The Whirly Dirly Conspiracy,S03_E05_The_Whirly_Dirly_Conspiracy,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-5218310
E06,S03,Rest and Ricklaxation,S03_E06_Rest_and_Ricklaxation,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-5218318
E07,S03,The Ricklantis Mixup,S03_E07_The_Ricklantis_Mixup,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-5218332
E08,S03,Morty's Mind Blowers,S03_E08_Mortys_Mind_Blowers,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-5218350
E09,S03,The ABC's of Beth,S03_E09_The_ABCs_of_Beth,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-5218370
E10,S03,The Rickchurian Mortydate,S03_E10_The_Rickchurian_Mortydate,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-5218386
