episode,season,title,file_name,link
E01,S01,"BoJack Horseman: The BoJack Horseman Story, Chapter One",S01_E01_BoJack_Horseman_The_BoJack_Horseman_Story_Chapter_One,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3957774
E02,S01,BoJack Hates the Troops,S01_E02_BoJack_Hates_the_Troops,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3982374
E03,S01,Prickly Muffin,S01_E03_Prickly_Muffin,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3981116
E04,S01,Zoës and Zeldas,S01_E04_Zoës_and_Zeldas,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3980964
E05,S01,"Live Fast, Diane Nguyen",S01_E05_Live_Fast_Diane_Nguyen,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3978916
E06,S01,Our A-Story Is a 'D' Story,S01_E06_Our_AStory_Is_a_D_Story,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3978918
E07,S01,Say Anything,S01_E07_Say_Anything,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3981398
E08,S01,The Telescope,S01_E08_The_Telescope,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3978922
E09,S01,Horse Majeure,S01_E09_Horse_Majeure,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3978928
E10,S01,One Trick Pony,S01_E10_One_Trick_Pony,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3978930
E11,S01,Downer Ending,S01_E11_Downer_Ending,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3978932
E12,S01,Later,S01_E12_Later,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3978934
E00,S02,BoJack Horseman Christmas Special: Sabrina's Christmas Wish,S02_E00_BoJack_Horseman_Christmas_Special_Sabrinas_Christmas_Wish,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4294938
E01,S02,Brand New Couch,S02_E01_Brand_New_Couch,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4311472
E02,S02,Yesterdayland,S02_E02_Yesterdayland,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4835722
E03,S02,Still Broken,S02_E03_Still_Broken,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4835724
E04,S02,After the Party,S02_E04_After_the_Party,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4835730
