episode,season,title,file_name,link
E01,S01,Tourist Trapped,S01_E01_Tourist_Trapped,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-2152239
E02,S01,The Legend of the Gobblewonker,S01_E02_The_Legend_of_the_Gobblewonker,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-2168670
E03,S01,Headhunters,S01_E03_Headhunters,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-2168676
E04,S01,The Hand That Rocks the Mabel,S01_E04_The_Hand_That_Rocks_the_Mabel,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-2229194
E05,S01,The Inconveniencing,S01_E05_The_Inconveniencing,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-2229196
E06,S01,Dipper vs. Manliness,S01_E06_Dipper_vs_Manliness,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-2229192
E07,S01,Double Dipper,S01_E07_Double_Dipper,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-2267658
E08,S01,Irrational Treasure,S01_E08_Irrational_Treasure,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-2267660
E09,S01,The Time Traveler's Pig,S01_E09_The_Time_Travelers_Pig,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-2310928
E10,S01,Fight Fighters,S01_E10_Fight_Fighters,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-2340344
E11,S01,Little Dipper,S01_E11_Little_Dipper,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-2340350
E12,S01,Summerween,S01_E12_Summerween,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-2439428
E13,S01,Boss Mabel,S01_E13_Boss_Mabel,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-2468818
E14,S01,Bottomless Pit,S01_E14_Bottomless_Pit,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-2717560
E15,S01,The Deep End,S01_E15_The_Deep_End,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-2717562
E16,S01,Carpet Diem,S01_E16_Carpet_Diem,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-2717564
E17,S01,Boyz Crazy,S01_E17_Boyz_Crazy,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-2813658
E18,S01,Land Before Swine,S01_E18_Land_Before_Swine,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-2973488
E19,S01,Dreamscaperers,S01_E19_Dreamscaperers,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3031772
E20,S01,Gideon Rises,S01_E20_Gideon_Rises,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3054596
E01,S02,Scary-oke,S02_E01_Scaryoke,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3780836
E02,S02,Into the Bunker,S02_E02_Into_the_Bunker,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3802848
E03,S02,The Golf War,S02_E03_The_Golf_War,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3918432
E04,S02,Sock Opera,S02_E04_Sock_Opera,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-3918438
E05,S02,Soos and the Real Girl,S02_E05_Soos_and_the_Real_Girl,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4054258
E06,S02,Little Gift Shop of Horrors,S02_E06_Little_Gift_Shop_of_Horrors,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4082996
E07,S02,Society of the Blind Eye,S02_E07_Society_of_the_Blind_Eye,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4074470
E08,S02,Blendin's Game,S02_E08_Blendins_Game,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4192532
E09,S02,The Love God,S02_E09_The_Love_God,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4192536
E10,S02,Northwest Mansion Mystery,S02_E10_Northwest_Mansion_Mystery,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4373958
E11,S02,Not What He Seems,S02_E11_Not_What_He_Seems,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4460256
E12,S02,A Tale of Two Stans,S02_E12_A_Tale_of_Two_Stans,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4575574
E13,S02,"Dungeons, Dungeons, & More Dungeons",S02_E13_Dungeons_Dungeons__More_Dungeons,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4823986
E14,S02,Stanchurian Candidate,S02_E14_Stanchurian_Candidate,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4843660
E15,S02,The Last Mabelcorn,S02_E15_The_Last_Mabelcorn,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4938792
E16,S02,Roadside Attraction,S02_E16_Roadside_Attraction,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4938796
E17,S02,Dipper & Mabel vs. the Future,S02_E17_Dipper__Mabel_vs_the_Future,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-5045754
E18,S02,Weirdmageddon: Part 1,S02_E18_Weirdmageddon_Part_1,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-5107700
E19,S02,Weirdmageddon 2: Escape from Reality,S02_E19_Weirdmageddon_2_Escape_from_Reality,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-5153882
E20,S02,Weirdmageddon 3: Take Back the Falls,S02_E20_Weirdmageddon_3_Take_Back_the_Falls,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-5153884
