linenumber,timecode_in,timecode_out,text,season,episode,episode_name
1,00:00:05.056,00:00:07.059,"ah, summer break...",S01,E01,Tourist Trapped
2,00:00:07.060,00:00:09.118,"- you want cheese on that hon? - sure, hank.",S01,E01,Tourist Trapped
3,00:00:09.407,00:00:12.324,"a time for leisure, recreation,",S01,E01,Tourist Trapped
4,00:00:12.325,00:00:14.332,and takin' 'er easy...,S01,E01,Tourist Trapped
5,00:00:14.333,00:00:15.413,unless you're me.,S01,E01,Tourist Trapped
6,00:00:15.414,00:00:17.350,aaaah!!!,S01,E01,Tourist Trapped
7,00:00:21.433,00:00:23.371,it's getting closer!,S01,E01,Tourist Trapped
8,00:00:29.392,00:00:31.441,my name is dipper.,S01,E01,Tourist Trapped
9,00:00:31.442,00:00:34.362,the girl about to puke is my sister mabel.,S01,E01,Tourist Trapped
10,00:00:34.363,00:00:36.381,you may be wondering what we're doing in a golf cart,S01,E01,Tourist Trapped
11,00:00:36.382,00:00:38.396,fleeing from a creature of unimaginable horror.,S01,E01,Tourist Trapped
12,00:00:38.397,00:00:39.396,- aah! - aaah!,S01,E01,Tourist Trapped
13,00:00:40.433,00:00:42.400,- look out! - aahh!,S01,E01,Tourist Trapped
14,00:00:44.421,00:00:48.382,"rest assured, there's a perfectly logical explanation.",S01,E01,Tourist Trapped
15,00:00:48.383,00:01:26.976,subtitles by memoryonsmells.http://uksubtitles.ru. for the next episodes - support us and donate.,S01,E01,Tourist Trapped
16,00:01:29.931,00:01:31.572,let's rewind.,S01,E01,Tourist Trapped
17,00:01:31.620,00:01:33.227,it all began,S01,E01,Tourist Trapped
18,00:01:33.448,00:01:36.364,when our parents decided we could use some fresh air.,S01,E01,Tourist Trapped
19,00:01:36.370,00:01:38.229,they shipped us up north to a sleepy town,S01,E01,Tourist Trapped
20,00:01:38.229,00:01:40.225,"called gravity falls, oregon,",S01,E01,Tourist Trapped
21,00:01:40.226,00:01:44.162,to stay at our great-uncle's place in the woods.,S01,E01,Tourist Trapped
