episode,season,title,file_name,link
E01,S01,The Vanishing of Will Byers,S01_E01_The_Vanishing_of_Will_Byers,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4593118
E02,S01,The Weirdo on Maple Street,S01_E02_The_Weirdo_on_Maple_Street,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4593122
E03,S01,"Holly, Jolly",S01_E03_Holly_Jolly,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4593126
E04,S01,The Body,S01_E04_The_Body,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4593124
E05,S01,The Flea and the Acrobat,S01_E05_The_Flea_and_the_Acrobat,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4593128
E06,S01,The Monster,S01_E06_The_Monster,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4593132
E07,S01,The Bathtub,S01_E07_The_Bathtub,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4593134
E08,S01,The Upside Down,S01_E08_The_Upside_Down,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-4593138
E01,S02,MADMAX,S02_E01_MADMAX,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-6020684
E02,S02,"Trick or Treat, Freak",S02_E02_Trick_or_Treat_Freak,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-6020792
E03,S02,The Pollywog,S02_E03_The_Pollywog,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-6020796
E04,S02,Will the Wise,S02_E04_Will_the_Wise,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-6020802
E05,S02,Dig Dug,S02_E05_Dig_Dug,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-6020806
E06,S02,The Spy,S02_E06_The_Spy,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-6020808
E07,S02,The Lost Sister,S02_E07_The_Lost_Sister,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-6020810
E08,S02,The Mind Flayer,S02_E08_The_Mind_Flayer,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-6020812
E09,S02,The Gate,S02_E09_The_Gate,https://www.opensubtitles.org/download/s/sublanguageid-eng/imdbid-6020876
